Symulacja
Labirynt:;labirynt 20x20.txt;Ilosc iteracji:;1000
hamsters;hamsters;gerbils;gerbils;mousedeer;mousedeer;mice;mice;rats;rats;
-76;-101;39;0;-355;-112;-246;-256;-74;-102;
21;237;-3;0;-115;-153;-89;-11;-258;-116;
141;-1;-949;-42;-41;0;59;162;312;300;
293;-31;28;26;-733;-96;52;-64;-173;24;
-37;223;-23;0;34;144;66;-409;52;-119;
14;-79;31;-125;-159;-49;50;-736;-38;-519;
122;-15;-275;-3;-257;5;198;-249;-256;-69;
52;287;38;-200;-199;47;-75;-215;0;79;
-66;-100;-848;-864;-234;13;-28;0;-70;35;
21;-113;-180;-8;-76;-111;-93;-102;883;-39;
16;223;-338;-116;-6;-12;38;-86;-347;125;
-56;-206;-162;92;-42;-176;142;143;173;-107;
-82;327;-263;-149;-211;-300;25;357;-45;-150;
134;-66;-37;-42;-210;-94;-114;-103;-122;-19;
-13;-86;-37;14;-47;-20;-122;-75;-539;-36;
-117;-168;-403;-621;-102;-408;95;-746;-128;192;
548;609;-19;-764;-53;-116;-40;95;-2;46;
-768;236;29;-72;0;-204;57;-60;54;38;
-268;-5;-230;-229;-308;-84;-190;219;-75;-116;
-116;54;-19;-98;-126;-748;0;-154;-177;-422;
-337;-28;-244;-863;-256;-221;-214;111;63;-846;
592;-211;-296;15;-375;43;-106;-187;-26;-527;
-9;137;4;0;-472;-100;-330;14;-154;-132;
-557;422;-29;-209;-343;-208;0;-150;3;436;
6;-24;-210;-209;-296;-148;-678;153;-393;-563;
134;-9;0;-36;-7;17;18;53;-206;-134;
231;38;-808;-243;-293;77;-90;-425;16;-180;
296;38;-51;-446;-14;-55;-87;-56;-93;-854;
-280;37;-96;-636;35;-935;-16;55;-42;-791;
576;40;-603;1;-362;171;372;-57;71;-65;
-305;633;-377;-667;-28;-258;-955;288;415;-189;
0;78;-849;-275;-395;-6;0;-34;181;-112;
-7;-140;142;-52;-211;183;446;-6;204;248;
-168;-32;-31;-49;417;-910;-67;-7;-0;-194;
-5;-11;-155;-169;-227;-3;-4;-206;21;271;
-44;637;-131;-130;34;-81;-241;35;-376;-71;
-38;-27;-3;-193;11;-147;-64;-84;-11;-31;
-15;27;0;-147;-7;-6;184;-151;-33;-37;
386;60;20;-857;-249;-532;-109;-11;22;270;
35;-29;-117;-11;-327;-660;-46;-131;28;-294;
-75;212;-851;0;-55;-48;107;-13;115;316;
-368;-16;-189;-182;372;-901;57;-205;-50;-238;
-87;77;0;0;-401;0;29;-343;75;-255;
-223;-496;-32;-249;0;-110;-754;-954;-6;498;
161;304;97;-162;-594;5;-375;-205;510;273;
39;22;-277;-72;-106;-21;323;-241;-284;41;
-130;-143;0;-216;-241;-585;-221;-128;349;937;
-7;50;-11;-326;-620;47;-693;-259;-69;98;
-135;-252;-310;-364;696;-992;-82;-27;396;94;
-190;-66;-192;-219;18;-180;0;-135;-39;-430;
-435;146;-489;-268;6;-267;448;-50;-266;-404;
504;21;-113;0;-132;28;-203;65;-521;-33;
306;156;-77;-383;-90;-773;29;0;7;-35;
-24;105;-523;-668;-74;-460;0;-68;-226;-166;
126;-202;-113;-122;-559;-28;707;-130;163;-185;
-192;-559;2;-131;-2;-191;224;5;-255;169;
8;-137;-499;-456;-676;-4;0;-43;9;-554;
-133;140;4;15;-221;-12;102;705;57;596;
-417;135;-253;-247;-648;-699;-121;-174;-209;-230;
-116;-17;-201;-130;0;-16;-243;-40;433;278;
-95;-106;-11;76;-41;247;256;0;-273;0;
0;76;36;34;-215;-463;77;-94;-93;0;
-54;-133;-296;-196;173;0;-472;74;-359;-79;
-96;53;-99;213;-32;0;-17;-309;-646;-480;
97;5;-267;-268;-147;-162;-44;36;254;-36;
-8;-261;156;-457;-15;139;-17;-149;31;-104;
-225;10;7;-239;-339;-4;380;-432;197;-127;
-157;-74;-11;-491;858;-169;-825;66;297;-2;
-735;365;-18;98;-882;40;-146;-114;125;2;
-74;138;-35;-77;-226;-186;19;-398;-22;23;
36;-77;-186;-185;-219;-28;133;0;138;2;
0;26;-62;-175;-122;-114;-77;423;-17;-115;
59;-15;-244;-0;-869;-930;60;-75;201;209;
-156;-6;-658;-641;15;0;-129;-268;-140;-197;
-254;-90;-106;-118;-406;0;-122;396;-83;152;
-216;-55;-364;-4;-347;56;107;-326;-0;-312;
210;-439;-74;-4;-174;-25;35;11;-175;-186;
-8;-34;-66;-65;-39;565;-233;102;119;-2;
721;116;-83;-63;46;519;296;-32;-483;132;
-26;222;-10;-25;-729;-559;240;8;-178;56;
169;-197;-571;0;7;-334;-34;-346;-286;-358;
-64;-110;-518;-398;43;-396;46;44;-13;-16;
-848;-9;-99;-102;-14;-482;-93;-92;264;-445;
-539;18;-200;-125;-292;-24;-1;270;-162;-214;
-94;-821;-610;-13;-158;-11;-380;757;16;-400;
-4;126;27;35;-288;-379;-225;-119;358;-280;
26;-100;-496;-88;-147;-321;137;-48;-17;-243;
-470;99;-483;17;-284;-146;189;-147;-8;611;
-146;-75;82;-486;-207;0;-196;-91;-101;-278;
-249;-15;-148;-19;461;-289;-108;-141;-14;-200;
-72;127;-181;-922;0;-423;-42;-438;-22;-242;
318;-117;-64;-163;31;172;225;88;-121;-94;
-187;-158;-213;-94;122;-67;136;134;180;-31;
-370;500;83;-3;32;-792;-548;-18;40;-86;
-6;-146;-78;-163;60;-548;-421;194;0;-333;
-19;-541;-8;-710;35;-183;-78;-161;-143;-102;
36;180;-24;-145;-154;0;-0;-73;57;-81;
450;-84;-238;-237;-146;-200;103;256;33;-143;
265;-14;68;-69;109;-304;-323;-61;86;40;
212;-126;-313;32;-166;5;-242;60;13;-143;
-606;-151;36;-252;-122;-497;-88;-75;19;-150;
637;212;40;-129;-173;-648;234;-41;-151;-156;
-7;-37;0;-23;196;-215;148;194;-327;-112;
105;-800;-12;-62;-751;-435;-20;71;-428;365;
-13;-163;-81;-61;-403;-170;0;-608;-525;-134;
-80;62;-87;-852;-32;544;79;-27;-70;47;
19;3;-263;-66;-5;-786;-44;15;-293;234;
-87;28;-478;44;-583;-131;84;-84;-562;-164;
-144;-216;85;-121;-447;-67;92;160;17;-127;
594;-21;-20;-79;-146;-169;-98;104;-23;-22;
-201;20;-798;-194;286;-250;178;-314;-60;92;
-192;242;-92;-56;58;-157;-213;0;-145;-119;
-64;-299;-72;-24;-818;-104;297;-296;-42;-7;
-268;-230;-525;-133;0;-43;-29;469;185;-466;
17;-81;-580;0;-26;-543;-178;15;-553;-57;
-79;180;8;-433;-151;-3;-24;-23;-29;-354;
148;-128;-300;30;-19;-56;110;155;-65;-273;
-182;-154;30;-37;202;-813;-237;-467;-9;102;
-31;-108;39;-509;-61;-197;172;-30;347;41;
-351;-663;-473;-430;0;128;-145;-521;-23;-344;
-97;-22;-48;-47;-72;-380;-381;-181;-747;-35;
-6;29;-696;-711;-135;-40;-103;612;41;121;
-32;162;-143;0;-792;-167;-128;-127;-438;197;
299;-212;-9;-548;-213;-98;-60;-56;134;67;
-113;37;-41;-152;-653;86;89;-983;90;112;
367;-97;-141;-199;-52;0;901;117;193;-16;
-171;26;-86;0;-215;-10;-69;12;247;24;
165;-561;-633;264;215;-9;155;382;-535;355;
21;-56;-3;19;0;-59;116;-35;-288;-1;
-13;41;3;316;-92;-105;-66;0;-221;-32;
18;-177;-185;-7;13;-28;367;20;232;56;
-49;341;-126;-0;-54;-60;-59;0;-141;-140;
339;-152;-147;-287;-351;-311;-106;-185;285;-35;
-92;-121;-93;-100;-153;-40;38;2;-145;-230;
478;-41;618;24;-3;-439;-76;-13;-271;-336;
-53;-145;-367;0;-114;-148;-68;64;-190;199;
-3;135;10;-46;-78;-65;-62;-283;45;12;
213;349;-529;-38;-509;15;-64;-273;-269;99;
5;35;-618;-299;-39;-163;120;-145;207;-112;
3;-249;37;-112;-118;0;-117;-238;0;458;
-95;91;-304;-322;-30;-226;19;93;-69;-79;
-520;-433;-57;-882;172;-35;95;-260;28;492;
-50;-34;-209;-15;-322;-315;-172;-366;-3;359;
161;84;-128;-141;-830;-185;-134;-188;82;197;
-211;44;-891;45;-892;-24;-44;-110;367;-23;
-79;-76;322;-97;-107;-49;-77;-64;-124;-318;
36;-474;-166;31;-152;-520;58;-26;-239;-202;
53;350;-69;-65;0;-160;51;0;-299;-355;
-707;-294;-185;-566;-193;-228;-207;-25;14;226;
-333;-673;-397;131;0;-888;-819;203;-58;201;
-31;-215;-291;-729;-700;-97;7;-177;167;-23;
-187;429;-45;-40;-138;-54;-120;-44;-53;-112;
-138;-87;104;4;-528;-129;-123;-3;-105;-154;
-129;-106;-105;-226;-102;107;-155;12;-251;-118;
-2;0;-137;-236;-459;64;135;-162;0;-12;
-4;-75;-136;-137;29;-793;-274;-235;-253;-146;
-70;697;-111;-5;-0;41;71;-7;-68;-53;
29;-152;-583;-177;-110;719;557;153;26;-32;
-18;-30;-56;-108;-227;-207;-15;-205;-55;-5;
-216;-129;-84;-83;-919;-6;-40;72;-311;-80;
-36;-56;19;-27;-203;8;0;-72;-6;-35;
814;59;-4;-134;-122;106;552;60;-133;124;
221;-314;-490;-654;-257;-177;-537;-249;487;-176;
-29;0;-64;-94;-134;-3;76;-28;-54;-20;
-361;352;-164;-268;309;-425;0;103;-900;-8;
-123;-443;30;-236;-38;-27;-103;-99;-122;-174;
26;-151;99;-159;-91;-440;-80;-3;29;27;
2;596;-137;-156;-5;-271;-108;0;-490;-101;
780;-131;15;-5;-73;-114;472;-111;37;-33;
183;-117;-123;-122;-162;-99;-71;-170;16;-74;
272;-237;-278;-231;-432;0;-255;-12;-160;-11;
-3;-76;-142;-485;-248;-439;-403;-325;142;-109;
161;-184;-189;-95;-276;-212;128;-13;17;3;
22;-42;-87;-239;-123;-92;-70;-934;379;60;
-136;-20;-43;-50;-23;-137;-596;0;-316;-29;
-377;448;-522;-22;-626;-0;-8;-127;40;105;
-122;0;-158;-173;-278;-76;-283;219;-129;-149;
-233;120;-118;14;-14;-177;236;-216;97;-39;
-15;-85;-649;-690;0;-601;-61;-253;78;-292;
301;-208;-733;-97;-192;0;-340;-173;-12;75;
130;-336;-141;-14;-13;26;-53;186;380;-285;
505;21;-38;-142;-108;-70;-72;-73;-176;-845;
466;23;-306;20;-2;18;-289;6;-359;-13;
-348;-115;-746;-278;-514;-8;-113;-222;488;325;
-140;-369;144;-30;-111;390;242;358;-36;-134;
108;213;-200;-18;329;-121;-212;14;103;-789;
-45;-16;-1;-633;-477;-193;-39;260;63;-14;
-160;-34;-22;61;-233;-17;59;-252;-225;48;
-206;336;-228;-6;125;-355;-176;-180;21;94;
3;337;0;-155;-375;125;13;-335;141;-62;
16;53;-16;14;-83;-41;-192;791;115;32;
-302;-27;18;-62;0;-817;-162;-890;-502;-107;
-25;432;-54;13;-849;-143;-70;22;-10;-138;
-270;-46;-103;29;-414;-108;-159;-132;-11;-162;
-322;-476;-311;-286;-730;-233;-164;-32;-65;-283;
-362;627;21;115;-162;-176;-178;88;263;-181;
-30;166;-110;-64;-135;-140;-4;-128;-96;-76;
-52;-261;-211;-226;-29;-268;154;-22;173;272;
-76;-467;-143;-733;-5;-150;4;-48;48;183;
87;-85;-435;-109;363;-130;81;88;31;-409;
-7;118;-57;-242;-92;49;-35;-84;116;-8;
-811;-8;-33;25;-219;-170;-92;-97;-241;-91;
210;87;-268;-0;0;-19;167;419;-39;12;
-77;-7;-85;-61;-17;-478;-94;244;-16;34;
70;-90;-68;20;-39;-124;-91;54;-145;228;
29;-381;26;-2;-606;0;193;-52;-21;27;
438;-252;-393;-4;-27;-0;-135;-41;-40;265;
124;22;-417;-3;90;-10;-75;-74;-179;-477;
106;26;-210;0;-586;14;-690;-180;-98;-99;
8;-12;-26;-222;-572;-69;-287;102;-426;-147;
15;29;-57;0;-69;-396;77;-76;-30;-58;
64;-87;-36;-8;452;-144;-19;540;124;-79;
-102;-112;-12;-478;-525;-302;-303;-5;-3;662;
-587;-241;20;-38;0;-674;389;-15;167;-151;
-11;900;-163;3;-361;-67;-284;-474;78;-100;
510;-54;-411;-428;0;52;-3;-146;363;-44;
-56;-45;9;30;-331;989;123;28;525;-43;
-73;257;-194;-113;255;376;506;-74;457;123;
249;-80;-81;-198;-311;-389;253;-106;40;772;
-328;-126;39;82;-78;37;-195;-14;210;285;
24;-0;-117;-79;-850;-84;-219;-53;-259;-458;
-133;146;63;-8;-368;68;0;183;-71;-491;
253;577;-20;-759;-285;687;-141;-180;-535;-242;
139;-17;-85;137;-46;-33;-52;-86;-62;-63;
-284;-106;-359;81;-876;-692;-12;-743;-411;-17;
205;37;40;-300;-190;-776;-105;-215;860;-66;
0;-22;-190;-188;-37;-872;-284;-320;-38;-80;
258;-67;0;34;-13;-142;436;216;-161;3;
-187;254;-60;-587;0;-97;47;2;343;-239;
-55;83;-8;33;0;-822;-45;-47;-17;84;
39;-0;416;-585;-14;-98;-61;186;71;-23;
34;-28;-219;-174;-101;-198;121;0;-594;-244;
36;-127;18;34;-126;176;-277;-105;167;-1;
214;27;-5;136;-169;-200;29;-9;-243;-133;
-101;-54;-14;-388;-334;0;223;713;64;-99;
-185;680;0;-184;-266;-987;-164;312;200;-271;
-367;-227;-205;-204;-178;-177;163;255;219;161;
170;-19;-41;0;-0;-239;-930;-516;-6;-271;
284;-83;-157;13;-60;-425;-82;-84;-127;94;
-77;0;-27;88;-233;-10;548;-43;-94;-70;
-42;8;-235;0;-239;-78;-284;-18;-306;-3;
-43;-490;-431;21;-56;-376;-26;-169;109;-464;
-31;-304;-203;-188;0;-312;-32;117;-245;115;
-46;-81;0;-140;-202;-96;-68;125;-9;-1;
184;63;-30;-31;-185;0;80;-125;-73;245;
-167;-138;-140;-174;-343;-177;-2;472;-25;-305;
3;-142;0;-107;-73;-18;-25;-87;-500;-72;
654;2;-20;45;-19;-167;13;-176;14;-24;
250;0;248;-64;-473;0;72;-143;-679;5;
-586;-915;-0;-395;137;173;-863;117;199;-367;
59;-462;-22;-92;-144;-87;24;-28;89;-0;
54;-448;-80;35;52;-322;94;7;-163;1;
197;226;-604;37;-128;-517;-11;-83;-21;322;
83;539;-521;26;0;201;-1;-369;202;-158;
507;-37;-59;36;-96;-128;417;-294;402;162;
65;646;-142;314;483;-61;80;-323;-35;18;
-40;25;-104;-9;-46;23;-5;-14;168;-164;
4;-70;-103;-64;68;-76;69;339;337;70;
547;313;-271;-281;-273;-692;-514;-242;-259;-260;
-180;-163;-85;0;194;-237;-10;-28;33;-84;
-33;-460;-314;-459;-114;-433;-146;-122;-188;-0;
38;240;-234;-809;-379;-142;-110;207;-70;-476;
-94;-649;-279;2;888;-65;-81;-329;105;-226;
-137;128;11;-41;-620;-249;129;88;233;456;
82;60;-86;-68;-113;-90;126;-22;378;-33;
567;38;-10;-404;-318;-11;-510;-116;-317;-6;
-60;0;0;-75;-253;-126;-153;12;-235;-76;
19;-33;20;17;0;-126;-12;149;727;-14;
93;-40;-75;37;-371;-390;0;-5;-73;669;
8;21;-469;-468;-184;-1;-65;-41;-42;-85;
-56;397;-84;-53;-706;-5;-161;867;653;425;
438;503;0;-104;23;-12;-35;-125;8;51;
132;486;-105;-364;-77;-55;1;-255;-9;138;
15;-49;-152;-270;-1;0;-170;-659;308;-974;
314;-14;0;0;165;9;11;-24;-39;-68;
160;-132;-206;178;0;-208;685;-14;84;-108;
-9;-188;-59;-22;-196;-96;-154;-31;428;-240;
-490;515;-364;28;-767;-834;-30;-106;45;-73;
228;317;-165;-147;3;19;-44;20;-20;-146;
-307;-57;-415;2;-141;287;-135;-43;94;314;
-8;21;76;-140;-128;-827;168;107;-1;-0;
-172;-188;-16;-69;-56;-187;-64;-86;20;-74;
-315;-122;-96;-53;-29;0;-76;217;210;-174;
-58;-202;-983;-964;-193;177;-178;-57;-31;0;
-48;-52;-0;-69;-125;-76;25;-86;-381;-828;
35;-101;-196;-13;-229;33;-183;-0;-592;-6;
694;33;23;-480;-10;489;-1;-26;24;-46;
1;-115;-475;-249;13;-81;-170;14;814;9;
22;-3;79;0;437;0;95;-8;152;93;
-255;-400;-34;-113;-33;-94;-16;-42;-37;-41;
170;133;-26;-3;-644;-163;-19;-9;-2;680;
-131;-9;-734;-189;-121;-61;-27;371;44;-297;
321;121;-586;27;-309;989;398;399;551;-2;
42;-141;-139;-607;-1;-334;131;122;-9;-227;
7;-15;-134;-133;-247;-787;-43;8;-264;-271;
-195;-18;-19;-46;-20;12;-153;216;13;0;
-635;11;18;-236;-84;-303;-25;-32;-246;-206;
-90;125;-37;-67;-438;-801;-66;63;30;-201;
-294;78;-123;-10;-12;-447;286;-100;33;-24;
-115;-55;-54;-44;-85;-712;146;147;-127;393;
-69;23;123;-201;-254;339;6;181;21;114;
198;18;90;-132;-9;-190;-75;128;-176;-131;
-916;-35;-835;-8;-6;117;0;-15;-199;0;
-26;172;-29;-471;-241;-896;-234;273;-273;-36;
-220;-144;-305;-10;-283;-9;75;76;-120;77;
629;-387;-188;-34;67;-9;79;-137;18;-125;
-654;347;-186;-318;-152;21;368;-13;-160;567;
-247;463;-205;-7;-187;-79;-357;220;-250;-249;
-283;-203;-186;20;-106;18;13;-613;392;-63;
52;-94;-336;41;-111;-113;0;-224;-182;-112;
-14;-21;-315;-317;-15;25;27;346;243;-11;
-199;-7;-284;-279;-618;-263;-283;-461;-25;-264;
7;-129;-131;-130;-861;-215;0;8;-485;-146;
-38;-64;-13;21;-563;-392;182;-19;-95;-66;
-194;-162;-52;-127;-517;0;-58;27;-243;-281;
-203;-57;42;-224;-361;-260;252;-17;-269;-314;
-60;-117;-329;-331;-85;-76;303;-192;-1;200;
-54;74;-174;33;-48;0;36;-192;-31;-149;
-91;126;4;-500;-834;-246;5;24;-61;-101;
-57;59;-224;-96;-422;-191;-42;29;99;-2;
-108;539;-248;292;-84;0;-170;53;19;17;
92;-176;-30;-217;145;-453;193;-219;-116;6;
-272;189;-198;-636;-85;-175;-443;-23;-12;-232;
-228;-67;-66;39;-393;0;-19;-6;-38;-43;
-215;-210;-462;-440;-368;-294;232;149;-175;-570;
5;186;36;-393;-655;-36;-2;-412;-535;-37;
19;132;-16;-385;-57;-562;-24;-344;-52;64;
-213;-211;-91;-837;-146;219;220;-277;-215;-465;
32;-48;30;-636;-440;445;-247;-252;-201;50;
-15;-87;-95;-25;0;-402;29;-60;-3;-244;
-23;75;-173;-9;-282;635;90;-7;-174;-36;
165;47;-67;-66;-61;-9;120;-56;102;16;
218;-4;-182;-120;-126;-58;-164;-139;-87;-183;
106;-763;-457;-611;-160;38;39;-247;-111;-610;
-590;-112;0;-132;-131;-261;-146;221;285;-25;
633;-41;517;-244;-627;-428;-121;-58;245;141;
-138;-18;-13;-368;363;-93;-137;-276;155;-102;
17;540;-121;-308;-334;-250;-148;54;183;-46;
16;-67;0;-2;335;-86;-545;235;176;-9;
307;-27;-161;45;172;-111;-17;-64;4;43;
-113;-30;130;-172;-377;-171;131;-3;-29;-216;
431;-346;33;-120;-68;-569;203;-291;-294;-17;
-110;-204;10;18;-100;-611;-104;-337;-117;-109;
86;-468;-35;-578;-102;-243;-146;-246;561;-36;
32;0;-25;-10;-28;-209;-19;33;-64;-77;
141;122;-492;-668;39;-32;114;-281;-40;231;
-27;-56;23;-85;-10;-60;-115;-321;24;-114;
-42;-421;-652;-134;-12;-117;17;-57;-252;18;
-9;-354;-594;-593;-174;0;-219;-268;-172;470;
83;-18;-329;-8;-101;-76;-159;-213;13;-29;
-62;-235;27;0;-377;-78;-2;217;-18;-293;
349;-162;39;200;-315;-344;-226;-80;498;-260;
-220;51;-126;-791;0;-292;-259;521;198;40;
-53;-52;-89;-280;-13;-43;-4;483;252;-55;
-13;-198;17;39;-224;173;-44;-159;374;-192;
5;-40;-112;-15;-246;-893;-21;-225;13;-20;
-279;-45;-67;-90;-120;-632;-189;-364;-44;-5;
-243;-490;-717;-244;20;8;72;21;-222;114;
60;97;-291;-82;-36;-2;-126;-125;204;-56;
-140;-619;-12;-409;-860;-215;-1;-206;-14;-83;
-473;-158;-12;-23;-150;-407;-32;-31;-11;-230;
-602;-77;-64;-245;-138;815;3;170;-29;4;
14;-42;-240;-222;-454;-119;137;-221;-97;-52;
558;-354;-394;-73;56;-12;-32;223;674;-3;
111;-52;-43;5;-960;995;-34;-10;-70;-4;
75;-466;-40;-242;-1;-11;163;391;-512;144;
1;207;-52;-887;7;-126;0;5;24;-348;
426;-142;-198;0;-16;-710;-58;188;-8;189;
145;62;-395;146;-153;381;280;98;-155;-492;
-153;119;18;0;16;-151;132;-293;124;-100;
-135;8;-31;-101;-9;-74;0;728;-354;177;
-353;129;-612;-34;-251;-264;356;240;-145;252;
-209;-5;-451;-258;201;-770;-257;-213;-489;-85;
-236;-136;0;-134;-42;390;-274;-172;-135;-433;
82;-265;-173;-48;-145;-49;-264;-50;209;27;
-366;-188;35;-336;-10;-5;-6;-79;23;66;
581;-6;-327;-7;-64;424;-13;-300;-280;-73;
-113;100;-4;-61;-62;-108;-686;-383;-112;-28;
28;24;-161;-160;26;-25;-56;-119;-682;-64;
178;-54;13;-530;81;-241;-29;-280;0;82;
-1;-56;-4;-738;-58;-65;82;-10;853;260;
107;143;-130;-61;0;84;-24;-80;-207;31;
-67;-128;-124;-135;-0;-202;4;-146;-68;233;
34;-174;-93;-1;13;0;-61;-320;14;-274;
28;-408;7;48;-407;-445;26;8;-120;-18;
-137;-98;-44;-779;235;-17;-26;5;43;-0;
-117;-237;-8;-722;941;-219;124;503;-244;-384;
-21;-26;-92;-44;-10;591;-14;-18;-52;-43;
-15;21;-17;68;-186;-112;66;-73;161;-6;
33;-257;-29;78;175;-779;-35;-223;-774;-20;
-274;-3;-239;-222;0;-771;-28;310;-69;16;
-33;-87;-120;194;-53;-161;-543;0;-152;212;
450;40;-53;-16;-293;-401;279;-262;-46;-36;
-167;-176;16;-37;-190;818;108;138;85;116;
-184;-19;-38;-81;0;0;-507;-249;-13;-9;
-21;357;-470;-471;-116;-258;-117;-331;42;27;
230;-469;-37;-409;-300;-601;-220;5;27;-474;
-122;-7;12;-6;-308;-141;-188;-689;-309;-260;
801;-412;-491;-142;-112;-551;-482;-545;94;-4;
-102;-80;-297;-267;-5;-296;-404;-462;-64;7;
-140;213;0;-1;552;-119;-43;-323;-179;-134;
18;-85;-388;-387;-86;-87;92;-78;-843;3;
0;363;-5;-77;-4;-396;292;-923;53;126;
-95;124;-592;-199;-135;-122;-152;-15;-583;-623;
170;27;7;-81;46;-443;38;-912;-63;-147;
-205;-283;-79;-190;-84;-345;-71;-36;-213;-111;
-15;-127;-2;-0;-241;-377;-142;133;16;-36;
-3;-142;-294;-591;-116;-271;174;-225;-185;197;
-317;-430;-503;-61;-799;-308;-177;-68;-66;-71;
-388;-442;-680;9;-154;-484;-64;103;-61;73;
-364;-0;-385;32;-309;-293;-81;-80;-36;-54;
-241;-164;-480;39;104;0;51;-234;-16;-18;
286;-101;-688;-687;-121;-36;-232;-63;313;-47;
-0;24;-113;-65;-21;-160;0;16;-213;-94;
-313;-67;-284;-286;-33;-71;-81;-56;254;38;
-27;-357;-16;-87;-194;147;-196;-110;-15;-123;
48;-186;-54;-410;6;3;-10;-199;-26;-0;
-168;151;-377;-116;-273;1;-537;-573;-133;15;
17;-232;99;66;-129;-246;-15;-43;252;-4;
189;-42;-95;-46;127;-65;376;-47;-30;-123;
-132;-454;-495;25;10;-52;-109;-26;-49;193;
-145;181;-6;-54;-32;0;-108;-1;-540;-758;
-68;22;-263;-337;-287;-336;-255;-155;-5;145;
492;157;-34;-123;-316;343;-97;-15;-106;-45;
-356;-112;-818;-348;18;-2;-18;-44;-208;62;
32;27;-723;-78;-453;5;-295;130;69;24;
40;51;-662;-934;-449;-194;-296;91;-4;-14;
236;66;-265;41;24;199;-4;39;-73;-14;
-402;-137;-2;-501;-54;-94;124;37;-221;-214;
95;-39;-55;-46;-1;-47;-64;5;-488;68;
-282;881;-114;-112;-166;61;-212;-123;-13;-289;
230;-23;-663;141;-154;-115;-111;-28;-414;-265;
157;169;-326;-248;-542;-849;-242;92;-266;973;
853;21;-57;-27;-5;-26;65;17;-59;46;
496;-58;-39;-27;-443;-288;-330;0;-26;171;
-201;-67;-150;4;-282;-90;-298;9;-4;-135;
-217;88;-295;-274;70;-544;29;0;-41;239;
215;-191;-507;-168;462;-330;-202;-22;-76;102;
-27;223;-100;-40;-217;-345;35;9;-130;-80;
17;-375;0;-187;-227;-433;-113;846;-102;-476;
-7;-333;-332;-609;-405;-6;-410;-34;265;-109;
-234;204;11;-26;-139;-94;57;-699;-100;-82;
-175;-45;-68;-20;-55;-86;-51;-67;-109;69;
-195;-147;133;-198;614;-350;-146;-534;-86;-545;
-66;-202;-430;-423;-506;-294;337;146;-149;332;
64;-469;23;17;-335;563;-334;11;-7;337;
-271;179;-963;-32;277;1;107;-405;-24;-14;
-858;82;34;-334;-632;-122;-368;-121;-130;-17;
-15;-32;-9;-55;-340;-56;805;-44;-65;25;
-26;-410;-88;-365;-104;0;-25;764;-13;47;
-20;-13;-21;-299;0;-315;-33;-71;-101;-84;
448;-106;-38;-69;-745;-987;14;-276;-8;0;
